Program Name,State Name,District Name,Started,In-Progress,Submitted,Submitted projects with evidence,Total Triggered
VAM_Andaman and Nicobar Islands,Andaman & Nicobar Islands,,103,1,15,14,119
VAM_Andhra Pradesh,Andhra Pradesh,,21466,3292,80689,69967,105447
GRC Bihar Improvement Project Program,Bihar,,20110,5527,30253,26299,55890
VAM_Bihar Vidya Amrit Mahotsav,Bihar,,128109,37186,112394,85717,277689
VAM_Chandigarh,Chandigarh,,92,5,112,101,209
GRC-CHHATTISGARH,Chhattisgarh,,1796,718,2939,1250,5453
VAM_Chhattisgarh,Chhattisgarh,,701,22,171,152,894
VAM_UT of Dadra Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,,83,8,124,114,215
VAM_Delhi,Delhi,,139,9,221,201,369
GRC-વાંચન ઝુંબેશ,Gujarat,,3458,150,516,219,4124
VAM_Gujarat,Gujarat,,5307,770,5893,5288,11970
VAM_Haryana,Haryana,,825,86,609,508,1520
VAM_Himachal Pradesh,Himachal Pradesh,,911,63,568,470,1542
VAM_JK,Jammu And Kashmir,,6217,988,34592,29361,41797
VAM_Jharkhand,Jharkhand,,199,5,22,16,226
VAM_Karnataka,Karnataka,,14496,2524,34059,25980,51079
ಅಂತರಾಷ್ಟ್ರೀಯ ಯೋಗ ದಿನ 2024 International Yoga Day 2024,Karnataka,,617,43,275,225,935
ಪರೀಕ್ಷಾ ಸಂಭ್ರಮ Pariksha Sambhrama,Karnataka,,683,65,108,92,856
VAM_ LADAKH,Ladakh,,48,1,9,8,58
GRC-MADHYA PRADESH,Madhya Pradesh,,6,3,0,0,9
VAM_Madhya Pradesh,Madhya Pradesh,,385,8,23,19,416
VAM_Maharashtra,Maharashtra,,3087,145,431,391,3663
VAM_Manipur,Manipur,,249,34,447,418,730
VAM_Meghalaya,Meghalaya,,298,20,78,63,396
VAM_Mizoram,Mizoram,,19,0,4,0,23
VAM_Nagaland Reading Festival,Nagaland,,753,44,701,559,1498
VAM_Odisha,Odisha,,1287,103,1337,1028,2727
GRC-PUDUCHERRY,Puducherry,,37,0,29,27,66
VAM_Puducherry,Puducherry,,28,2,42,39,72
VAM_Punjab,Punjab,,4688,506,12052,9882,17246
ਮਾਪੇ ਅਧਿਆਪਕ ਮਿਲਨੀ - Sept 2022,Punjab,,5457,1590,2733,2609,9780
VAM_RAJASTHAN,Rajasthan,,705,9,71,54,785
VAM_Sikkim,Sikkim,,126,6,30,26,162
GRC-ADILABAD,Telangana,,3,0,0,0,3
VAM_Telangana,Telangana,,163,2,27,20,192
VAM_Uttar Pradesh,Uttar Pradesh,,4486,214,1330,1175,6030
